computer,datetime,exp,cbal,participant,trial,trial_type,img,trial_duration,audio_path,audio_file,word,error,word_onset,word_duration
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,5,fill,ftxt31.jpg,0.855544912,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_005.wav,wc32v.3_TEST_005.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,6,fill,fimg40.jpg,0.856022305,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_006.wav,wc32v.3_TEST_006.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,7,intf,prim34.jpg,0.856553191,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_007.wav,wc32v.3_TEST_007.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,8,trgt,trgt34.jpg,0.85541118,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_008.wav,wc32v.3_TEST_008.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,9,fill,fimg27.jpg,0.856262712,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_009.wav,wc32v.3_TEST_009.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,10,ctrl,ctrl23.jpg,0.856293502,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_010.wav,wc32v.3_TEST_010.wav,,,,
LCNL-279-1-PC,6/20/2018 11:22,wc32v.3,A1a,TEST,11,trgt,trgt23.jpg,1.626115731,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST/wc32v.3_TEST_011.wav,wc32v.3_TEST_011.wav,,,,
LCNL-279-1-PC,6/25/2018 9:02,wc32v.3,A1a,TEST9,p01,prac,prac01.gif,3.032898755,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST9/wc32v.3_TEST9_p01.wav,wc32v.3_TEST9_p01.wav,,,,
LCNL-279-1-PC,6/25/2018 9:02,wc32v.3,A1a,TEST9,p02,prac,prac02.jpg,1.494065398,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST9/wc32v.3_TEST9_p02.wav,wc32v.3_TEST9_p02.wav,,,,
LCNL-279-1-PC,6/25/2018 9:02,wc32v.3,A1a,TEST9,p03,prac,prac03.gif,0.854002948,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST9/wc32v.3_TEST9_p03.wav,wc32v.3_TEST9_p03.wav,,,,
LCNL-279-1-PC,6/25/2018 9:02,wc32v.3,A1a,TEST9,p04,prac,prac04.jpg,1.363587508,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST9/wc32v.3_TEST9_p04.wav,wc32v.3_TEST9_p04.wav,,,,
LCNL-279-1-PC,6/25/2018 9:02,wc32v.3,A1a,TEST9,1,fill,fimg38.jpg,1.494679012,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST9/wc32v.3_TEST9_001.wav,wc32v.3_TEST9_001.wav,,,,
LCNL-279-1-PC,6/25/2018 9:02,wc32v.3,A1a,TEST9,2,ctrl,ctrl31.jpg,3.032783372,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST9/wc32v.3_TEST9_002.wav,wc32v.3_TEST9_002.wav,,,,
LCNL-279-1-PC,6/25/2018 9:03,wc32v.3,A1a,TEST99,p01,prac,prac01.gif,2.004000771,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST99/wc32v.3_TEST99_p01.wav,wc32v.3_TEST99_p01.wav,,,,
LCNL-279-1-PC,6/25/2018 9:03,wc32v.3,A1a,TEST99,p02,prac,prac02.jpg,0.85473972,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST99/wc32v.3_TEST99_p02.wav,wc32v.3_TEST99_p02.wav,,,,
LCNL-279-1-PC,6/25/2018 9:03,wc32v.3,A1a,TEST99,p03,prac,prac03.gif,3.030925116,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_PTEST99/wc32v.3_TEST99_p03.wav,wc32v.3_TEST99_p03.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,p01,prac,prac01.gif,1.364223824,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_p01.wav,wc32v.3_11_p01.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,p02,prac,prac02.jpg,1.24508083,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_p02.wav,wc32v.3_11_p02.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,p03,prac,prac03.gif,1.114666696,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_p03.wav,wc32v.3_11_p03.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,p04,prac,prac04.jpg,0.854208212,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_p04.wav,wc32v.3_11_p04.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,1,fill,fimg38.jpg,1.244225877,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_001.wav,wc32v.3_11_001.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,2,ctrl,ctrl31.jpg,0.855038285,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_002.wav,wc32v.3_11_002.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,3,trgt,trgt31.jpg,0.984197824,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_003.wav,wc32v.3_11_003.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,4,fill,ftxt03.jpg,0.853338019,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_004.wav,wc32v.3_11_004.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,5,fill,ftxt31.jpg,0.853375029,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_005.wav,wc32v.3_11_005.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,6,fill,fimg40.jpg,0.855081203,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_006.wav,wc32v.3_11_006.wav,,,,
